id,intent_gold,intent_pred,intent_ok,missing_spans,extra_spans,wrong_type_overlaps,n_missing,n_extra,n_wrong_type_overlap
test_415_2,AddToPlaylist,AddToPlaylist,1,1:1:artist,1:1:entity_name,1:1:artist~vs~1:1:entity_name,1,1,1
test_476_2,BookRestaurant,BookRestaurant,1,5:5:restaurant_name,5:5:restaurant_type,5:5:restaurant_name~vs~5:5:restaurant_type,1,1,1
test_286_5,RateBook,RateBook,1,1:1:object_part_of_series_type,1:1:object_name,1:1:object_part_of_series_type~vs~1:1:object_name,1,1,1
test_274_1,BookRestaurant,BookRestaurant,1,5:7:party_size_description,7:7:served_dish,5:7:party_size_description~vs~7:7:served_dish,1,1,1
test_259_3,weather/find,weather/find,1,2:2:condition_description,2:2:weather/attribute,2:2:condition_description~vs~2:2:weather/attribute,1,1,1
test_404_1,BookRestaurant,BookRestaurant,1,6:6:restaurant_type,6:6:served_dish,6:6:restaurant_type~vs~6:6:served_dish,1,1,1
test_456_1,BookRestaurant,BookRestaurant,1,4:4:location,4:4:restaurant_type,4:4:location~vs~4:4:restaurant_type,1,1,1
test_415_3,AddToPlaylist,AddToPlaylist,1,1:1:artist,1:1:entity_name,1:1:artist~vs~1:1:entity_name,1,1,1
test_434_2,BookRestaurant,BookRestaurant,1,4:4:restaurant_name,4:4:restaurant_type,4:4:restaurant_name~vs~4:4:restaurant_type,1,1,1
test_434_3,BookRestaurant,BookRestaurant,1,4:4:restaurant_name,4:4:location,4:4:restaurant_name~vs~4:4:location,1,1,1
test_498,BookRestaurant,BookRestaurant,1,11:14:datetime,12:14:datetime,,1,1,0
test_483,SearchCreativeWork,SearchCreativeWork,1,4:7:object_name,3:6:object_name,,1,1,0
test_473,RateBook,RateBook,1,6:6:best_rating,5:5:best_rating,,1,1,0
test_456,BookRestaurant,BookRestaurant,1,4:4:location,3:3:served_dish,,1,1,0
test_455,SearchCreativeWork,SearchCreativeWork,1,3:5:object_name,4:5:object_name,,1,1,0
test_451,SearchCreativeWork,SearchCreativeWork,1,4:6:object_name,3:5:object_name,,1,1,0
test_107,reminder/set_reminder,reminder/set_reminder,1,10:10:datetime,10:11:datetime,,1,1,0
test_285,BookRestaurant,BookRestaurant,1,8:9:served_dish,8:10:served_dish,,1,1,0
test_304,PlayMusic,PlayMusic,1,3:4:service,3:3:service,,1,1,0
test_310,weather/find,weather/find,1,3:3:condition_temperature,2:3:condition_temperature,,1,1,0
test_321,weather/find,weather/find,1,4:4:datetime,3:4:datetime,,1,1,0
test_374_1,BookRestaurant,BookRestaurant,1,3:5:party_size_description,5:5:party_size_description,,1,1,0
test_420,PlayMusic,PlayMusic,1,3:4:artist,4:4:artist,,1,1,0
test_422,AddToPlaylist,AddToPlaylist,1,5:7:playlist,4:7:playlist,,1,1,0
test_429,PlayMusic,PlayMusic,1,3:3:datetime,3:5:datetime,,1,1,0
test_374_2,BookRestaurant,BookRestaurant,1,3:5:party_size_description,5:5:party_size_description,,1,1,0
test_375,weather/find,weather/find,1,6:8:datetime,6:13:datetime,,1,1,0
test_380,AddToPlaylist,AddToPlaylist,1,5:6:playlist,4:6:playlist,,1,1,0
test_395,SearchScreeningEvent,SearchScreeningEvent,1,6:8:movie_name,5:7:movie_name,,1,1,0
test_396,PlayMusic,PlayMusic,1,5:7:playlist,4:5:playlist,,1,1,0
test_401,AddToPlaylist,AddToPlaylist,1,6:6:playlist,5:6:playlist,,1,1,0
test_403,AddToPlaylist,AddToPlaylist,1,4:5:playlist,4:6:playlist,,1,1,0
test_412,PlayMusic,PlayMusic,1,5:6:service,5:5:service,,1,1,0
test_190,alarm/set_alarm,alarm/set_alarm,1,8:13:recurring_datetime,7:12:recurring_datetime,,1,1,0
test_204,alarm/cancel_alarm,alarm/cancel_alarm,1,4:7:datetime,4:8:datetime,,1,1,0
test_224,alarm/show_alarms,alarm/show_alarms,1,1:2:reference,1:1:reference,,1,1,0
test_225,reminder/show_reminders,reminder/show_reminders,1,2:3:reference,2:2:reference,,1,1,0
test_403_1,AddToPlaylist,AddToPlaylist,1,4:6:playlist,3:6:playlist,,1,1,0
test_455_1,SearchCreativeWork,SearchCreativeWork,1,3:5:object_name,4:5:object_name,,1,1,0
test_253_3,SearchCreativeWork,SearchCreativeWork,1,6:6:object_name,6:7:object_name,,1,1,0
test_409_6,SearchCreativeWork,SearchCreativeWork,1,4:4:object_name,4:6:object_name,,1,1,0
test_253_5,SearchCreativeWork,SearchCreativeWork,1,6:7:object_name,6:10:object_name,,1,1,0
test_409_12,SearchCreativeWork,SearchCreativeWork,1,4:4:object_name,4:5:object_name,,1,1,0
test_409_21,SearchCreativeWork,SearchCreativeWork,1,4:6:object_name,4:7:object_name,,1,1,0
test_409_22,SearchCreativeWork,SearchCreativeWork,1,4:6:object_name,4:7:object_name,,1,1,0
test_455_2,SearchCreativeWork,SearchCreativeWork,1,3:4:object_name,3:5:object_name,,1,1,0
test_291_5,SearchScreeningEvent,SearchScreeningEvent,1,3:5:movie_name,5:5:movie_name,,1,1,0
test_321_1,weather/find,weather/find,1,4:4:datetime,3:4:datetime,,1,1,0
test_321_2,weather/find,weather/find,1,4:4:datetime,3:4:datetime,,1,1,0
test_273_2,weather/find,weather/find,1,5:5:datetime,5:12:datetime,,1,1,0
test_285_31,BookRestaurant,BookRestaurant,1,8:10:served_dish,8:11:served_dish,,1,1,0
test_285_34,BookRestaurant,BookRestaurant,1,8:12:served_dish,8:13:served_dish,,1,1,0
test_285_40,BookRestaurant,BookRestaurant,1,8:9:served_dish,8:10:served_dish,,1,1,0
test_380_1,AddToPlaylist,AddToPlaylist,1,5:6:playlist,4:6:playlist,,1,1,0
test_103,alarm/cancel_alarm,alarm/cancel_alarm,1,1:1:reference,,,1,0,0
test_105,reminder/cancel_reminder,reminder/cancel_reminder,1,1:1:reference,,,1,0,0
test_301,PlayMusic,PlayMusic,1,1:2:track,,,1,0,0
test_173,alarm/cancel_alarm,alarm/cancel_alarm,1,1:1:reference,,,1,0,0
test_223,weather/find,weather/find,1,1:1:weather/attribute,,,1,0,0
test_489_1,PlayMusic,PlayMusic,1,3:3:music_item,,,1,0,0
test_489_2,PlayMusic,PlayMusic,1,3:3:music_item,,,1,0,0
test_408_4,weather/find,weather/find,1,6:6:location,,,1,0,0
test_259_4,weather/find,weather/find,1,2:2:condition_description,,,1,0,0
test_469,RateBook,RateBook,1,,5:5:rating_unit,,0,1,0
test_288,SearchScreeningEvent,SearchScreeningEvent,1,,1:1:object_type,,0,1,0
test_330,RateBook,RateBook,1,,2:2:rating_unit,,0,1,0
test_425,RateBook,RateBook,1,,4:4:rating_unit,,0,1,0
test_427,RateBook,RateBook,1,,4:4:rating_unit,,0,1,0
test_285_5,BookRestaurant,BookRestaurant,1,,12:12:facility,,0,1,0
test_400_1,AddToPlaylist,AddToPlaylist,1,,3:3:music_item,,0,1,0
test_403_2,AddToPlaylist,AddToPlaylist,1,,3:3:playlist,,0,1,0
